FROM_REACTION_ID	TYPE	TO_REACTION_ID
24079	is_a	10743
24112	is_a	17357
24113	is_a	17358
24114	is_a	17359
24115	is_a	17360
24140	is_a	48628
24141	is_a	48629
24142	is_a	48630
24143	is_a	48631
24216	is_a	16185
24217	is_a	16186
24218	is_a	16187
24219	is_a	16188
24312	is_a	51736
24313	is_a	51737
24314	is_a	51738
24315	is_a	51739
24340	is_a	10740
24341	is_a	10741
24342	is_a	10742
24343	is_a	10743
24400	is_a	24036
24401	is_a	24037
24402	is_a	24038
24403	is_a	24039
24484	is_a	10740
24485	is_a	10741
24486	is_a	10742
24487	is_a	10743
24552	is_a	54384
24553	is_a	54385
24554	is_a	54386
24555	is_a	54387
24620	is_a	10736
24621	is_a	10737
24622	is_a	10738
24623	is_a	10739
24722	is_a	51308
24723	is_a	51309
24724	is_a	51310
24725	is_a	51311
24809	is_a	20936
24810	is_a	20937
24811	is_a	20938
24812	is_a	20939
24894	is_a	18861
24895	is_a	18862
24896	is_a	18863
24897	is_a	18864
24956	is_a	26410
24957	is_a	26411
24958	is_a	26412
24959	is_a	26413
25033	is_a	15937
25034	is_a	15938
25035	is_a	15939
25036	is_a	15940
25094	is_a	11216
25095	is_a	11217
25096	is_a	11218
25097	is_a	11219
25098	is_a	18113
25099	is_a	18114
25100	is_a	18115
25101	is_a	18116
25160	is_a	13877
25161	is_a	13878
25162	is_a	13879
25163	is_a	13880
25181	is_a	11116
25182	is_a	11117
25183	is_a	11118
25184	is_a	11119
25185	is_a	19081
25186	is_a	19082
25187	is_a	19083
25188	is_a	19084
25189	is_a	11044
25190	is_a	11045
25191	is_a	11046
25192	is_a	11047
25213	is_a	53328
25214	is_a	53329
25215	is_a	53330
25216	is_a	53331
25217	is_a	20497
25218	is_a	20498
25219	is_a	20499
25220	is_a	20500
25225	is_a	12785
25226	is_a	12786
25227	is_a	12787
25228	is_a	12788
25229	is_a	12789
25230	is_a	12790
25231	is_a	12791
25232	is_a	12792
25237	is_a	18113
25238	is_a	18114
25239	is_a	18115
25240	is_a	18116
25245	is_a	21864
25246	is_a	21865
25247	is_a	21866
25248	is_a	21867
25253	is_a	23832
25254	is_a	23833
25255	is_a	23834
25256	is_a	23835
25257	is_a	23932
25258	is_a	23933
25259	is_a	23934
25260	is_a	23935
25265	is_a	16153
25266	is_a	16154
25267	is_a	16155
25268	is_a	16156
25277	is_a	14653
25278	is_a	14654
25279	is_a	14655
25280	is_a	14656
25286	is_a	54028
25287	is_a	54029
25288	is_a	54030
25289	is_a	54031
25290	is_a	10736
25290	is_a	33567
25291	is_a	10737
25291	is_a	33568
25292	is_a	10738
25292	is_a	33569
25293	is_a	10739
25293	is_a	33570
25294	is_a	16185
25295	is_a	16186
25296	is_a	16187
25297	is_a	16188
25298	is_a	11888
25299	is_a	11889
25300	is_a	11890
25301	is_a	11891
25330	is_a	19265
25331	is_a	19266
25332	is_a	19267
25333	is_a	19268
25347	is_a	13953
25348	is_a	13954
25349	is_a	13955
25350	is_a	13956
25355	is_a	25375
25356	is_a	25376
25357	is_a	25377
25358	is_a	25378
25379	is_a	25375
25380	is_a	25376
25381	is_a	25377
25382	is_a	25378
25408	is_a	47416
